Date,MSCI World
07/1995,133264.00000000003
08/1995,130266.4
09/1995,134032.4
10/1995,131893.3
11/1995,136444.1
12/1995,140404.50000000003
01/1996,142915.4
02/1996,143756.4
03/1996,146118.80000000002
04/1996,149524.7
05/1996,149624
06/1996,150350.60000000003
07/1996,145006.9
08/1996,146643.5
09/1996,152354.69999999998
10/1996,153388.1
11/1996,161953.5
12/1996,159329.40000000002
01/1997,161219.69999999998
02/1997,163043.80000000002
03/1997,159788.3
04/1997,164980.9
05/1997,175134
06/1997,183838.8
07/1997,192275.80000000005
08/1997,179383.2
09/1997,189098.3
10/1997,179115.3
11/1997,182254.4
12/1997,184445.1
01/1998,189554.6
02/1998,202346.2
03/1998,210859.49999999997
04/1998,212888.4
05/1998,210188.6
06/1998,215145
07/1998,214767.9
08/1998,186095.8
09/1998,189355.09999999998
10/1998,206440.29999999996
11/1998,218684.8
12/1998,229335.4
01/1999,234323.8
02/1999,228057.2
03/1999,237519.30000000005
04/1999,246849.3
05/1999,237795.9
06/1999,248853.69999999995
07/1999,248073.6
08/1999,247598.9
09/1999,245164.39999999997
10/1999,257874.4
11/1999,265095.6
12/1999,286519.9
01/2000,270079
02/2000,270775
03/2000,289457
04/2000,277184.9
05/2000,270134.4
06/2000,279196.9
07/2000,271303.8
08/2000,280095.3
09/2000,265169
10/2000,260693.6
11/2000,244833.4
12/2000,248761.3
01/2001,253551.6
02/2001,232095.4
03/2001,216811.70000000004
04/2001,232793.8
05/2001,229760.3
06/2001,222529.3
07/2001,219554.9
08/2001,208984.1
09/2001,190541.4
10/2001,194179.8
11/2001,205638
12/2001,206909.9
01/2002,200620.4
02/2002,198855.9
03/2002,207615.50000000003
04/2002,200558.70000000004
05/2002,200893.09999999998
06/2002,188669.4
07/2002,172749.9
08/2002,173044.9
09/2002,153992.6
10/2002,165339.4
11/2002,174228.7
12/2002,165763.6
01/2003,160712.1
02/2003,157899.4
03/2003,157378.2
04/2003,171324.8
05/2003,181078.99999999997
06/2003,184190.1
07/2003,187908.9
08/2003,191945.59999999998
09/2003,193100.8
10/2003,204540.5
11/2003,207632
12/2003,220642.29999999996
